City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,12.89,87,66,1.97,CL,1667516971
1,punta arenas,-53.15,-70.9167,16.06,63,40,10.8,CL,1667516888
2,moron,-34.6534,-58.6198,19.98,58,0,5.27,AR,1667516972
3,san patricio,28.017,-97.5169,27.92,74,31,7.08,US,1667516972
4,aklavik,68.2191,-135.0107,-12.0,79,100,3.6,CA,1667516972
5,jangaon,17.7167,79.1833,20.72,81,2,0.65,IN,1667516973
6,georgetown,5.4112,100.3354,25.96,92,20,2.57,MY,1667516682
7,requena,39.4883,-1.1004,15.99,69,100,6.8,ES,1667516973
8,ushuaia,-54.8,-68.3,14.81,58,20,2.06,AR,1667516974
9,catamarca,-28.4696,-65.7852,25.43,17,9,4.02,AR,1667516974
10,jamestown,42.097,-79.2353,16.8,69,0,3.6,US,1667516807
11,mataura,-46.1927,168.8643,10.51,87,87,4.18,NZ,1667516975
12,cape town,-33.9258,18.4232,20.19,85,16,4.92,ZA,1667516887
13,pangnirtung,66.1451,-65.7125,-12.02,89,89,5.44,CA,1667516976
14,vaini,-21.2,-175.2,27.09,78,20,5.66,TO,1667516976
15,nara,34.6851,135.8049,14.72,70,91,1.08,JP,1667516770
16,butaritari,3.0707,172.7902,26.81,71,72,5.96,KI,1667516977
17,demba,-5.51,22.2667,18.79,86,62,0.63,CD,1667516978
18,norman wells,65.282,-126.8329,-15.17,89,100,3.85,CA,1667516867
19,biltine,14.5333,20.9167,21.64,19,100,3.67,TD,1667516978
20,sur,22.5667,59.5289,25.14,49,0,4.5,OM,1667516979
21,saint-philippe,-21.3585,55.7679,21.77,80,88,4.5,RE,1667516979
22,puerto rondon,6.2805,-71.1,21.64,81,98,3.98,CO,1667516979
23,namibe,-15.1961,12.1522,19.44,85,35,2.04,AO,1667516980
24,chuy,-33.6971,-53.4616,12.74,78,1,3.56,UY,1667516980
25,nikolskoye,59.7035,30.7861,0.94,90,83,1.24,RU,1667516981
26,vardo,70.3705,31.1107,2.99,93,100,12.86,NO,1667516981
27,vostok,46.4856,135.8833,-7.96,69,100,3.73,RU,1667516982
28,klaksvik,62.2266,-6.589,7.51,90,100,10.77,FO,1667516982
29,bara,10.3744,10.7288,26.16,26,100,4.38,NG,1667516982
30,peru,40.7537,-86.0689,19.27,68,0,3.6,US,1667516983
31,albany,42.6001,-73.9662,15.36,63,0,1.75,US,1667516821
32,shetpe,44.1667,52.1167,5.38,78,62,4.08,KZ,1667516984
33,faya,18.3851,42.4509,14.29,80,27,1.11,SA,1667516984
34,ribeira grande,38.5167,-28.7,19.87,97,11,4.02,PT,1667516985
35,puerto ayora,-0.7393,-90.3518,19.98,78,80,5.51,EC,1667516986
36,burns lake,54.2331,-125.7533,2.09,55,81,2.36,CA,1667516986
37,mar del plata,-38.0023,-57.5575,13.94,81,0,7.15,AR,1667516255
38,imelda,7.65,123.95,26.68,86,51,1.67,PH,1667516986
39,flin flon,54.7682,-101.865,-6.76,92,98,3.62,CA,1667516987
40,fortuna,40.5982,-124.1573,13.29,63,0,5.14,US,1667516988
41,tuktoyaktuk,69.4541,-133.0374,-15.03,89,100,4.75,CA,1667516988
42,lakes entrance,-37.8811,147.981,15.65,60,62,3.16,AU,1667516988
43,alofi,-19.0595,-169.9187,26.94,78,75,5.66,NU,1667516989
44,hobart,-42.8794,147.3294,15.59,58,40,4.63,AU,1667516719
45,kapaa,22.0752,-159.319,28.39,76,75,6.69,US,1667516964
46,natal,-5.795,-35.2094,27.36,74,20,6.17,BR,1667516785
47,padang,-0.9492,100.3543,24.99,87,100,1.65,ID,1667516990
48,bredasdorp,-34.5322,20.0403,17.62,96,100,5.89,ZA,1667516990
49,asau,46.4333,26.4,2.51,90,35,0.93,RO,1667516396
50,yashkul,46.1711,45.3435,3.44,73,70,2.96,RU,1667516991
51,aden,12.7794,45.0367,26.48,73,2,5.14,YE,1667516991
52,carballo,43.213,-8.691,14.93,92,77,1.35,ES,1667516992
53,guilin,25.2819,110.2864,19.66,45,97,4.62,CN,1667516877
54,tasiilaq,65.6145,-37.6368,0.09,95,100,5.12,GL,1667516992
55,acapulco,16.8634,-99.8901,27.9,78,0,5.14,MX,1667516756
56,chokurdakh,70.6333,147.9167,-24.64,95,100,1.55,RU,1667516993
57,okha,53.5739,142.9478,-0.26,61,63,3.21,RU,1667516993
58,vilhena,-12.7406,-60.1458,18.73,49,15,1.5,BR,1667516994
59,siyabuswa,-25.1132,29.0445,21.57,61,100,1.92,ZA,1667516994
60,bathsheba,13.2167,-59.5167,28.34,78,20,6.69,BB,1667516994
61,hamilton,39.1834,-84.5333,20.8,63,0,3.09,US,1667516539
62,saint george,37.1041,-113.5841,11.81,50,40,3.6,US,1667516488
63,keroka,-0.7758,34.9453,13.02,95,100,0.88,KE,1667516996
64,bulgan,48.8125,103.5347,-5.83,70,49,1.64,MN,1667516996
65,hermanus,-34.4187,19.2345,18.78,95,100,6.39,ZA,1667516997
66,iqaluit,63.7506,-68.5145,-17.38,90,13,3.71,CA,1667516997
67,yellowknife,62.456,-114.3525,-6.32,77,100,8.06,CA,1667516866
68,kenai,60.5544,-151.2583,2.05,96,0,0.0,US,1667516998
69,yulara,-25.2406,130.9889,19.91,28,0,8.0,AU,1667516527
70,havelock,34.8791,-76.9013,21.0,85,75,4.63,US,1667516999
71,zabaykalsk,49.6333,117.3167,-8.05,80,83,4.65,RU,1667516999
72,san policarpo,12.1791,125.5072,28.26,75,39,4.58,PH,1667516999
73,lagos,6.5833,3.75,24.99,91,85,1.52,NG,1667516785
74,copiapo,-27.3667,-70.3333,12.83,40,0,2.12,CL,1667516968
75,kodiak,57.79,-152.4072,2.73,48,0,12.86,US,1667516773
76,alta floresta,-9.8756,-56.0861,25.1,61,70,0.96,BR,1667517000
77,atuona,-9.8,-139.0333,25.21,80,14,5.65,PF,1667517001
78,araouane,18.9048,-3.5265,24.22,14,0,4.07,ML,1667517001
79,lerwick,60.1545,-1.1494,10.0,71,96,8.58,GB,1667517002
80,kankon,15.0167,74.0167,26.09,69,33,2.79,IN,1667517004
81,broken hill,-31.95,141.4333,14.6,52,0,4.9,AU,1667516950
82,rikitea,-23.1203,-134.9692,21.1,68,100,6.52,PF,1667517004
83,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,100,75,3.0,RU,1667516475
84,castro,-24.7911,-50.0119,9.88,86,51,2.92,BR,1667517005
85,victoria,22.2855,114.1577,23.03,93,89,3.58,HK,1667516935
86,westport,41.1415,-73.3579,15.46,83,0,2.57,US,1667517006
87,tilichiki,60.4667,166.1,-9.04,97,100,3.74,RU,1667517007
88,vicuna,-30.0319,-70.7081,25.98,40,100,1.98,CL,1667517007
89,karratha,-20.7377,116.8463,25.95,29,0,4.52,AU,1667517008
90,gornopravdinsk,60.05,69.9,-0.23,89,100,1.95,RU,1667517008
91,barrow,71.2906,-156.7887,-11.99,85,100,4.63,US,1667516827
92,dunedin,-45.8742,170.5036,15.5,49,37,4.42,NZ,1667516915
93,carnarvon,-24.8667,113.6333,21.01,77,0,7.65,AU,1667517010
94,half moon bay,37.4636,-122.4286,16.99,51,7,4.4,US,1667516417
95,krasnyy chikoy,50.3643,108.7512,-11.0,92,100,1.4,RU,1667516494
96,guerrero negro,27.9769,-114.0611,19.78,56,13,10.27,MX,1667517010
97,lavrentiya,65.5833,-171.0,-9.5,74,37,2.92,RU,1667517011
98,busselton,-33.65,115.3333,16.07,79,5,4.02,AU,1667517011
99,katsuura,35.1333,140.3,21.11,57,100,9.53,JP,1667516481
100,thompson,55.7435,-97.8558,-6.91,86,100,6.69,CA,1667516940
101,machala,-3.2667,-79.9667,23.97,73,75,3.09,EC,1667517012
102,cabo san lucas,22.8909,-109.9124,29.23,65,0,5.78,MX,1667517013
103,hithadhoo,-0.6,73.0833,27.12,76,63,5.85,MV,1667517013
104,cayenne,4.9333,-52.3333,25.02,94,0,0.0,GF,1667516232
105,bull savanna,17.8868,-77.5902,25.07,82,39,1.89,JM,1667516531
106,hilo,19.7297,-155.09,24.79,96,100,1.54,US,1667516927
107,ilulissat,69.2167,-51.1,-1.99,50,20,9.26,GL,1667517015
108,lagoa,39.05,-27.9833,19.46,88,1,4.83,PT,1667517016
109,bambous virieux,-20.3428,57.7575,22.9,79,65,3.08,MU,1667517016
110,khatanga,71.9667,102.5,-18.06,97,99,2.98,RU,1667517017
111,grand gaube,-20.0064,57.6608,22.99,75,34,1.34,MU,1667517018
112,esperance,-33.8667,121.9,18.53,59,88,9.18,AU,1667517018
113,sabang,5.8933,95.3214,24.82,88,100,3.34,ID,1667517019
114,turinsk,58.0458,63.696,-2.34,94,89,2.7,RU,1667517020
115,port alfred,-33.5906,26.891,19.98,83,94,8.98,ZA,1667517020
116,tual,-5.6667,132.75,29.39,71,99,5.38,ID,1667517021
117,grindavik,63.8424,-22.4338,2.26,87,0,3.6,IS,1667517022
118,qaanaaq,77.484,-69.3632,-13.66,54,34,3.87,GL,1667517022
119,new norfolk,-42.7826,147.0587,15.4,56,14,1.34,AU,1667517023
120,taoudenni,22.6783,-3.9836,24.56,15,43,4.62,ML,1667517023
121,krasnokamensk,50.0979,118.0369,-10.47,84,76,2.2,RU,1667517024
122,tukrah,32.5341,20.5791,20.07,72,1,1.72,LY,1667517025
123,zhezkazgan,47.8043,67.7144,6.19,46,100,6.15,KZ,1667517026
124,san cristobal,7.7669,-72.225,18.6,99,84,2.01,VE,1667516945
125,zhigansk,66.7697,123.3711,-23.92,99,53,2.86,RU,1667517026
126,melita,49.2681,-100.9967,-1.37,42,100,5.45,CA,1667517027
127,isabela,6.7085,121.9711,27.2,82,79,2.13,PH,1667517028
128,bakchar,57.0186,82.0711,-4.13,91,71,1.67,RU,1667517029
129,ponta do sol,32.6667,-17.1,22.06,87,78,0.7,PT,1667517029
130,buala,-8.145,159.5921,28.95,73,90,3.03,SB,1667517030
